word,pos_symbol,pos_word,meaning,score
balúta,n,noun,ballot.,0.0
bálsa,n,noun,"raft, ferry, a native raft made of tied bamboo trunks.",0.0
bálus,n,noun,"answer, reply, revenge, reprisal, reward, vendetta.",0.077
bálus,v,verb,"to answer, to reply, to strike back, to take revenge on.",0.077
balúskay,v,verb,"to rummage, to make a thorough search.",0.0
balút,n,noun,"unhatched embryo of duck or chicken, boiled and eaten as a delicacy.",0.0
balyéna,n,noun,whale.,0.0
bána,n,noun,husband.,0.0
baná’ag,n,noun,"dawn, early morning, rays of the sun.",0.0
banás,n,noun,"path, a footpath through uncleared areas.",0.0
bánda,n,noun,"cord or strip of material serving chiefly for decoration, a music band or group of musicians organized for playing together.",0.202
bandehádo,n,noun,platter.,0.0
bandéra,n,noun,flag.,0.0
bándo,n,noun,"announcement, broadcast, declaration.",0.0
bándo,v,verb,"to announce, to make public, to inform the public, to declare.",0.0
bánhaw,v,verb,"to resurrect, to rise from the dead.",-0.649
baníg,n,noun,native mat made from strips of palm leaves woven together.,0.0
baníhut,adj,adjective,"stubborn, obstinate, persistent, unyielding.",-0.599
bansúli’,v,verb,"to tumble, to be together in a confused mass.",-0.318
bánta’,n,noun,"guess, opinion, supposition, estimate.",0.0
bánta’,v,verb,"to guess, to opine, to suppose, to estimate.",0.0
bántal,v,verb,to bundle or wrap together with a piece of cloth or clothing.,0.0
bantála’,n,noun,"announcement, advertisement, broadcast.",0.0
bantála’,v,verb,"to announce or broadcast over the air, to advertise.",0.0
bántay,n,noun,"watchman, watcher, guard, observer.",0.0
bántay,v,verb,"to watch over, to guard, to observe.",0.0
bánting,v,verb,to brace or tie together with a rope.,0.0
bántug,adj,adjective,"renowned, famous, eminent, distinguished, noted.",0.0
bántug,v,verb,"to be rumored, to be considered a hearsay, to become well-known.",0.0
bánwa,n,noun,"town, community, a compactly settled area usually larger than a village but smaller than a city;  citizen.",0.0
bányo,n,noun,bathroom.,0.0
bangá’,n,noun,native earthen jar used as water container.,0.0
bángkay,n,noun,"corpse, dead body.",-0.84
bangkéta,n,noun,"sidewalk, concrete pavement.",0.0
bangkéte,n,noun,"banquet, ceremonious meal.",0.0
bángko,n,noun,bank.,0.0
bángku’,n,noun,wooden bench long enough for two or more people to sit on.,0.0
bangdánan,n,noun,"reason, cause, motive for refusal.",0.0
bángday,v,verb,to lean against as for support.,0.402
bángga’,v,verb,"to collide, to bump against.",-0.077
bángig,v,verb,"to quarrel, to start a fight.",-0.382
bangís,adj,adjective,"brutal, cruel, inhuman, ferocious, fierce.",-0.852
bangúd,con,conjunction,"regarding, concerning, relating to, because of, therefore.",0.0
bángun,v,verb,"to arise, to get up from bed, to get up from a lying position.",-0.527
bapór,n,noun,"boat, ship.",0.0
bará,v,verb,"to clog, to impede with extraneous matter.",0.026
bára,n,noun,"bar, a long straight piece of wood or metal, crowbar.",0.226
baráha,n,noun,"deck of playing cards, card.",0.202
barandílya,n,noun,"railing made of iron serving as a guard or support, iron guard rail.",0.402
baratílyo,n,noun,bargain sale.,0.202
baráto,adj,adjective,"cheap, inexpensive.",0.0
baráto,v,verb,"to make cheap, to reduce in price.",0.0
bárbas,n,noun,beard.,0.0
bárbas,v,verb,to shave the beard off.,0.0
barbéro,n,noun,barber.,0.0
barílis,n,noun,barrel.,0.0
barína,n,noun,awl.,0.0
barína,v,verb,"to drill, to bore a hole with an awl.",0.0
barukán,n,noun,urinary bladder.,0.0
barútu,n,noun,"canoe, a native canoe made from carved trunks of trees.",0.0
báryu,n,noun,a unit of local government and area division having the status of a village.,0.0
bása,v,verb,to read.,0.0
basá’,adj,adjective,"wet, soaked.",0.0
basá’,v,verb,"to wet, to soak with liquid.",0.0
baság,adj,adjective,"of sound, hoarse, dull, broken.",-0.7
básbas,v,verb,"of plants and trees, to cut, to trim.",-0.273
báskit,n,noun,basket.,0.0
báskug,adj,adjective,"of sound, loud; of force, strong.",0.511
bási’,v,verb,"may, may be, might.",0.0
báso,n,noun,drinking glass.,0.0
básta,con,conjunction,"because, provided, as long as, if, just, i said so.",0.0
básta,pt,particle,"i said so, it has been agreed upon.",0.0
bástun,n,noun,"walking stick, cane.",0.0
bástus,adj,adjective,"rude, uncouth, offensive in manner or action, lacking in social refinement.",-0.718
básul,v,verb,"to scold, to chide, to blame, to regret, to repent, to reproach.",-0.784
basúra,n,noun,"garbage, trash, litter.",0.0
básya,v,verb,"of water, to pour out with force, to throw out.",0.0
báta,n,noun,"a loose garment usually worn in bed, nightgown.",-0.542
báta’,n,noun,"child, baby, young girl or boy usually below the age of ten years old.",0.0
báta’,adj,adjective,"young, immature.",0.0
báta’,v,verb,"to deliver a child, to bear a child.",0.0
batá’batá’,adj,adjective,"younger, childish.",-0.296
bátak,v,verb,"to pull upward, to raise.",0.0
batás,v,verb,"to bear, to suffer, to endure.",-0.542
batás,n,noun,endurance.,-0.542
batásan,n,noun,"manner, character, custom, behavior.",0.0
batí,v,verb,"of liquid and powder, to beat together, to mix together.",0.0
batí’,v,verb,"to hear, to be able to hear.",0.0
báti’,n,noun,feelings.,0.0
batí’batí’,v,verb,to eavesdrop.,0.0
batíd,adj,adjective,"clever, cunning, ingenious.",0.459
batí’is,n,noun,"leg, shin.",0.0
batinggílan,adj,adjective,"flirt, loose in morality.",-0.318
bátsi,n,noun,hole on the road.,0.0
batú,n,noun,"rock, stone, pebble.",0.0
bátu’,v,verb,"to resist, to oppose, to fight, to challenge.",-0.318
batúbaláni’,n,noun,magnet.,0.0
batúbatú,v,verb,"to spell, to count one by one.",0.0
bátuk,v,verb,"to resist, to oppose to compete, to debate.",0.0
bátug,n,noun,egg yolk.,0.0
bátun,v,verb,"to receive, to accept, to take.",0.382
batúta,n,noun,"police club, wooden club.",0.0
bátya’,n,noun,native wide wooden tub or basin.,0.0
bátyag,n,noun,"feeling, sense.",0.128
bátyag,v,verb,"to feel, to have a sensation.",0.128
ba’ú,n,noun,land turtle.,0.0
