word,pos_symbol,pos_word,meaning
báta’,NN,noun,"child, baby, young girl or boy usually below the age of ten years old."
báta’,JJ,adjective,"young, immature."
báta’,VB,verb,"to deliver a child, to bear a child."
batá’batá’,JJ,adjective,"younger, childish."
bátak,VB,verb,"to pull upward, to raise."
batás,VB,verb,"to bear, to suffer, to endure."
batás,NN,noun,endurance.
batásan,NN,noun,"manner, character, custom, behavior."
batí,VB,verb,"of liquid and powder, to beat together, to mix together."
batí’,VB,verb,"to hear, to be able to hear."
báti’,NN,noun,feelings.
batí’batí’,VB,verb,to eavesdrop.
batíd,JJ,adjective,"clever, cunning, ingenious."
batí’is,NN,noun,"leg, shin."
batinggílan,JJ,adjective,"flirt, loose in morality."
bátsi,NN,noun,hole on the road.
batú,NN,noun,"rock, stone, pebble."
bátu’,VB,verb,"to resist, to oppose, to fight, to challenge."
batúbaláni’,NN,noun,magnet.
batúbatú,VB,verb,"to spell, to count one by one."
bátuk,VB,verb,"to resist, to oppose to compete, to debate."
bátug,NN,noun,egg yolk.
bátun,VB,verb,"to receive, to accept, to take."
batúta,NN,noun,"police club, wooden club."
bátya’,NN,noun,native wide wooden tub or basin.
bátyag,NN,noun,"feeling, sense."
bátyag,VB,verb,"to feel, to have a sensation."
ba’ú,NN,noun,land turtle.
ba’úg,JJ,adjective,"of egg, rotten, sterile."
báw’as,JJ,adjective,"of people, sterile, barren, childless."
báwi’,VB,verb,"to redeem, to take back, to reclaim."
bawtisár,VB,verb,"to baptize, to pour water on the head as in baptism."
báya’,VB,verb,"to leave, to quit, to abandon."
bayábas,NN,noun,guava.
báyad,NN,noun,payment.
báyad,VB,verb,"to pay, to settle an account, to spend."
bayáw,NN,noun,"sister-in-law, brother-in-law."
báyaw,VB,verb,"to elevate, to lift, to raise as a host during roman catholic mass service."
báybay,NN,noun,"beach, coast, shore."
baylíhan,NN,noun,dancehall.
báylu,VB,verb,"to exchange, to substitute, to swap."
bayú,VB,verb,"to box, to maul, to pound."
báyu’,NN,noun,"dress, clothing, apparel."
bayú’ung,NN,noun,bag made of woven palm leaves.
bentáha’,NN,noun,"advantage, edge."
bérde,JJ,adjective,green.
bersíkulu,NN,noun,verse.
beteráno,NN,noun,veteran.
béynte,CD,numeral,twenty;  twentieth.
bíbi,NN,noun,duck.
bibíg,NN,noun,lip.
bíbliya,NN,noun,bible.
bikoláno,NN,noun,"language spoken principally in albay, camarines sur, catanduanes, sorsogon, the southern half of camarines norte, and in some towns of masbate."
biktíma,NN,noun,victim.
bigúti,NN,noun,moustache.
bíhag,NN,noun,"captive, hostage."
bíhag,JJ,adjective,"captivating, attractive."
bíhag,VB,verb,"to capture, to abduct, to kidnap, to attract, to bait."
bílang,VB,verb,"to consider, to esteem as."
bilánggu,NN,noun,prisoner.
bilánggu,VB,verb,"to capture, to imprison."
bilás,NN,noun,the affinal relation of husbands or wives of siblings.
bilí,NN,noun,"cost, amount, price."
bilí,VB,verb,"to be worth, to cost, to be the price of."
bilíd,VB,verb,"to hold with the hands so as to inspect closely, especially clothes."
bílin,NN,noun,"request, last words."
bílin,VB,verb,"to enjoin, to leave behind."
bilín,NN,noun,"balance account, remainder, left over."
bílug,NN,noun,"piece, part."
bilúg,JJ,adjective,"round, circle."
bílyar,NN,noun,"billiard, pool."
bilyéte,NN,noun,ticket.
binágbinág,VB,verb,"to consider, to ponder, to apportion."
binágun,NN,noun,native machete.
bínhi’,NN,noun,"seedling, plant grown from seed."
bíno,NN,noun,wine.
bintána’,NN,noun,window.
bingáw,JJ,adjective,"of teeth, missing, jagged."
bingáw,VB,verb,"of teeth, to lose a tooth, to knock out a tooth, to jag or notch accidentally."
