Word	Part of speech	meaning	source
kahilwayan	noun	freedom ; liberty Synonym: kaluasan	https://en.m.wiktionary.org/wiki/kahilwayan
kahilwayan	noun	independence	https://en.m.wiktionary.org/wiki/kahilwayan
dulongan	noun	parking	https://en.m.wiktionary.org/wiki/dulongan
ganhaan	noun	door	https://en.m.wiktionary.org/wiki/ganhaan
bangud sa	adjective	concerning	https://en.m.wiktionary.org/wiki/bangud%20sa
laplap	verb	cut , slice	https://en.m.wiktionary.org/wiki/laplap
ayagan	noun	sieve	https://en.m.wiktionary.org/wiki/ayagan
balayan sang sinulatan ukon dinalan	noun	syntax	https://en.m.wiktionary.org/wiki/balayan%20sang%20sinulatan%20ukon%20dinalan
mango	noun	( derogatory ) idiot	https://en.m.wiktionary.org/wiki/mango
mango	adjective	stupid , foolish	https://en.m.wiktionary.org/wiki/mango
suyak	noun	thorn	https://en.m.wiktionary.org/wiki/suyak
dumalagan	noun	runaway	https://en.m.wiktionary.org/wiki/dumalagan
tampulanga	noun	( botany ) hibiscus	https://en.m.wiktionary.org/wiki/tampulanga
tudlo sang dalaga	noun	a type of banana	https://en.m.wiktionary.org/wiki/tudlo%20sang%20dalaga
halab	verb	graze	https://en.m.wiktionary.org/wiki/halab
bagsat	noun	bedbug	https://en.m.wiktionary.org/wiki/bagsat
libre	adjective	free ; without charge ; gratis	https://en.m.wiktionary.org/wiki/libre
labaha	noun	razor	https://en.m.wiktionary.org/wiki/labaha
bayhon	noun	form , figure , shape Synonym: porma	https://en.m.wiktionary.org/wiki/bayhon
hinlo	adjective	smooth , level	https://en.m.wiktionary.org/wiki/hinlo
hinlo	verb	polish , shine	https://en.m.wiktionary.org/wiki/hinlo
hulugpaan	noun	airport Hulugpaan sang Roxas Roxas Airport	https://en.m.wiktionary.org/wiki/hulugpaan
buntug	noun	stye	https://en.m.wiktionary.org/wiki/buntug
buntug	verb	to bite , strike ( of snakes )	https://en.m.wiktionary.org/wiki/buntug
maalwan	adjective	generous	https://en.m.wiktionary.org/wiki/maalwan
maalwan	adjective	graceful Synonyms: mahim-ong , mahinhin	https://en.m.wiktionary.org/wiki/maalwan
okra	noun	okra ( Abelmoschus esculentus )	https://en.m.wiktionary.org/wiki/okra
abayan	adjective	( superstition ) liable to fall under an evil spell or magic	https://en.m.wiktionary.org/wiki/abayan
akal-akal	verb	to bubble or seethe	https://en.m.wiktionary.org/wiki/akal-akal
kalibutan	noun	world	https://en.m.wiktionary.org/wiki/kalibutan
hanginan	adjective	well - ventilated	https://en.m.wiktionary.org/wiki/hanginan
hanginan	adjective	windy ; breezy Synonym: hanginon	https://en.m.wiktionary.org/wiki/hanginan
kinam	verb	taste	https://en.m.wiktionary.org/wiki/kinam
edukasyon	noun	education , upbringing	https://en.m.wiktionary.org/wiki/edukasyon
edukasyon	noun	instruction , training	https://en.m.wiktionary.org/wiki/edukasyon
teolohia	noun	theology	https://en.m.wiktionary.org/wiki/teolohia
apendisitis	noun	appendicitis	https://en.m.wiktionary.org/wiki/apendisitis
aga	noun	morning	https://en.m.wiktionary.org/wiki/aga
apitong	noun	tree	https://en.m.wiktionary.org/wiki/apitong
belada sa eskwelahan	noun	commencement	https://en.m.wiktionary.org/wiki/belada%20sa%20eskwelahan
abak	verb	to follow in quick succession	https://en.m.wiktionary.org/wiki/abak
dugo	noun	blood	https://en.m.wiktionary.org/wiki/dugo
bisan diin	noun	everywhere , somewhere , wherever	https://en.m.wiktionary.org/wiki/bisan%20diin
boko-boko	noun	ankle	https://en.m.wiktionary.org/wiki/boko-boko
bungalon	noun	( botany ) vetiver grass , zacate grass	https://en.m.wiktionary.org/wiki/bungalon
daplos	noun	slip , slipping Synonym: dapyos	https://en.m.wiktionary.org/wiki/daplos
haloan	noun	a mudfish	https://en.m.wiktionary.org/wiki/haloan
bitik	noun	flea	https://en.m.wiktionary.org/wiki/bitik
kamatayon	noun	death Antonym: kinabuhi	https://en.m.wiktionary.org/wiki/kamatayon
ayi	noun	spleen	https://en.m.wiktionary.org/wiki/ayi
buy-an	verb	escape , to let to get away	https://en.m.wiktionary.org/wiki/buy-an
hagunghung	noun	a rumbling sound	https://en.m.wiktionary.org/wiki/hagunghung
hagunghung	noun	a boom	https://en.m.wiktionary.org/wiki/hagunghung
hagunghung	verb	rumble	https://en.m.wiktionary.org/wiki/hagunghung
balsamo	noun	balm , balsam (clarification of this definition is needed)	https://en.m.wiktionary.org/wiki/balsamo
karnabal	noun	carnival	https://en.m.wiktionary.org/wiki/karnabal
batan-on	adjective	childish , childlike , juvenile Batan-on nga kalipay. Childlike pleasure.	https://en.m.wiktionary.org/wiki/batan-on
busay	noun	waterfall Synonym: talogan	https://en.m.wiktionary.org/wiki/busay
busay	noun	spring Synonym: bukal	https://en.m.wiktionary.org/wiki/busay
gibwangan	noun	the junction of two or more rivers	https://en.m.wiktionary.org/wiki/gibwangan
gibwangan	noun	mouth of a river	https://en.m.wiktionary.org/wiki/gibwangan
sabat	noun	answer ; reply	https://en.m.wiktionary.org/wiki/sabat
anak-anak	noun	adopted child , foster child	https://en.m.wiktionary.org/wiki/anak-anak
biskwit	noun	biscuit	https://en.m.wiktionary.org/wiki/biskwit
dabadaba	noun	kindling	https://en.m.wiktionary.org/wiki/dabadaba
yahong	noun	bowl	https://en.m.wiktionary.org/wiki/yahong
batakan	noun	crane , pulley	https://en.m.wiktionary.org/wiki/batakan
dumulog	verb	pause	https://en.m.wiktionary.org/wiki/dumulog
bagrong	noun	sound	https://en.m.wiktionary.org/wiki/bagrong
laham	verb	to touch , feel	https://en.m.wiktionary.org/wiki/laham
sulod	noun	alternative form of sulud	https://en.m.wiktionary.org/wiki/sulod
kudyapi	noun	a kudyapi	https://en.m.wiktionary.org/wiki/kudyapi
dapay	noun	hawk , bird of prey	https://en.m.wiktionary.org/wiki/dapay
dumuluaw	noun	guest , visitor	https://en.m.wiktionary.org/wiki/dumuluaw
bagyo	noun	tropical cyclone	https://en.m.wiktionary.org/wiki/bagyo
bagyo	noun	typhoon	https://en.m.wiktionary.org/wiki/bagyo
bagyo	noun	storm	https://en.m.wiktionary.org/wiki/bagyo
haway	adjective	exposed , visible	https://en.m.wiktionary.org/wiki/haway
baraha	noun	cards	https://en.m.wiktionary.org/wiki/baraha
balabag	noun	impediment	https://en.m.wiktionary.org/wiki/balabag
samong	noun	obstacle	https://en.m.wiktionary.org/wiki/samong
dapat	adjective	eligible	https://en.m.wiktionary.org/wiki/dapat
dapat	adjective	appropriate , fit , proper	https://en.m.wiktionary.org/wiki/dapat
mapait	adjective	bitter	https://en.m.wiktionary.org/wiki/mapait
ablaw	adjective	friendly , sociable	https://en.m.wiktionary.org/wiki/ablaw
ablaw	noun	friendliness	https://en.m.wiktionary.org/wiki/ablaw
balataan	noun	( anatomy ) uterus , womb	https://en.m.wiktionary.org/wiki/balataan
estudyante	noun	pupil , student	https://en.m.wiktionary.org/wiki/estudyante
bantay	noun	watchman , watcher	https://en.m.wiktionary.org/wiki/bantay
bantay	noun	observer	https://en.m.wiktionary.org/wiki/bantay
bantay	noun	guard Synonym: gwardya	https://en.m.wiktionary.org/wiki/bantay
bantay	verb	to watch ; to see over ; to supervise	https://en.m.wiktionary.org/wiki/bantay
baton	verb	accept , get , receive	https://en.m.wiktionary.org/wiki/baton
alaypan hayop	noun	zoo	https://en.m.wiktionary.org/wiki/alaypan%20hayop
dumugok	verb	attend	https://en.m.wiktionary.org/wiki/dumugok
dalin-as	verb	slip	https://en.m.wiktionary.org/wiki/dalin-as
anad	adjective	usual ; sophisticated ; used to	https://en.m.wiktionary.org/wiki/anad
anad	verb	practice , train	https://en.m.wiktionary.org/wiki/anad
buhi	adjective	alive Antonym: patay	https://en.m.wiktionary.org/wiki/buhi
abono	noun	dung , fertilizer , manure	https://en.m.wiktionary.org/wiki/abono
abono	noun	payment for another in advance	https://en.m.wiktionary.org/wiki/abono
haroan	noun	a mudfish	https://en.m.wiktionary.org/wiki/haroan
abisar	verb	to advise , inform , notify	https://en.m.wiktionary.org/wiki/abisar
abyogan	noun	swing ( hanging seat )	https://en.m.wiktionary.org/wiki/abyogan
dunkul	noun	firewood	https://en.m.wiktionary.org/wiki/dunkul
almohada	noun	cushion , pillow	https://en.m.wiktionary.org/wiki/almohada
tudlo	noun	( anatomy ) finger	https://en.m.wiktionary.org/wiki/tudlo
ginhawaan	noun	trachea , windpipe	https://en.m.wiktionary.org/wiki/ginhawaan
pahalin	verb	causative of hálin	https://en.m.wiktionary.org/wiki/pahalin
pahalin	verb	to depart or leave	https://en.m.wiktionary.org/wiki/pahalin
pahalin	verb	to fire or oust	https://en.m.wiktionary.org/wiki/pahalin
maaslum	adjective	sour	https://en.m.wiktionary.org/wiki/maaslum
bun-ag	noun	birth	https://en.m.wiktionary.org/wiki/bun-ag
bun-ag	noun	( medicine ) delivery	https://en.m.wiktionary.org/wiki/bun-ag
Negrense	noun	native or resident of Negros	https://en.m.wiktionary.org/wiki/Negrense
Negrense	adjective	pertaining to Negros	https://en.m.wiktionary.org/wiki/Negrense
godgod	verb	follow up , look for , search for	https://en.m.wiktionary.org/wiki/godgod
ginikanan	noun	parent	https://en.m.wiktionary.org/wiki/ginikanan
bayo-bayo	noun	pulse	https://en.m.wiktionary.org/wiki/bayo-bayo
sal-on	verb	catch	https://en.m.wiktionary.org/wiki/sal-on
kasal	verb	to marry	https://en.m.wiktionary.org/wiki/kasal
bulig	noun	aid , help Synonym: ayuda	https://en.m.wiktionary.org/wiki/bulig
duyan	noun	cradle	https://en.m.wiktionary.org/wiki/duyan
duyan	noun	hammock	https://en.m.wiktionary.org/wiki/duyan
duyan	noun	swing	https://en.m.wiktionary.org/wiki/duyan
agigising	noun	( anatomy ) temple	https://en.m.wiktionary.org/wiki/agigising
diyotay	adjective	small ; little Synonym: gamay Antonym: dako	https://en.m.wiktionary.org/wiki/diyotay
abir	noun	assets , property	https://en.m.wiktionary.org/wiki/abir
asugi	noun	mercury	https://en.m.wiktionary.org/wiki/asugi
hadlok	noun	afraid , awe , dread	https://en.m.wiktionary.org/wiki/hadlok
galyetas	noun	cracker , hardtack , biscuit	https://en.m.wiktionary.org/wiki/galyetas
galyetas	noun	a small ship	https://en.m.wiktionary.org/wiki/galyetas
bangka	noun	surfeit	https://en.m.wiktionary.org/wiki/bangka
bangka	noun	boat	https://en.m.wiktionary.org/wiki/bangka
daman	verb	sleeptalk	https://en.m.wiktionary.org/wiki/daman
badlu	noun	phlegm	https://en.m.wiktionary.org/wiki/badlu
ugangan	noun	parent-in-law	https://en.m.wiktionary.org/wiki/ugangan
almohadon	noun	a large cushion or pillow	https://en.m.wiktionary.org/wiki/almohadon
anay	noun	termite	https://en.m.wiktionary.org/wiki/anay
tuig-tuig	adjective	yearly , annual : happening once a year	https://en.m.wiktionary.org/wiki/tuig-tuig
gision	verb	crack , rip , tear	https://en.m.wiktionary.org/wiki/gision
bagoong	noun	shrimp paste	https://en.m.wiktionary.org/wiki/bagoong
abang	noun	avarice , greediness	https://en.m.wiktionary.org/wiki/abang
abang	verb	to be within range of a fire	https://en.m.wiktionary.org/wiki/abang
sinelas	noun	slipper ; flip-flop	https://en.m.wiktionary.org/wiki/sinelas
seremonya	noun	ceremony	https://en.m.wiktionary.org/wiki/seremonya
lag-it	noun	cheat , imposter , sneak , swindler , trickster	https://en.m.wiktionary.org/wiki/lag-it
lag-it	verb	to cheat , swindle	https://en.m.wiktionary.org/wiki/lag-it
halon	noun	shadow Synonym: landong	https://en.m.wiktionary.org/wiki/halon
ilig	verb	to flow , run , stream Ang túbig naga ílig . The water is flowing .	https://en.m.wiktionary.org/wiki/ilig
dumalagsa	noun	emigrant	https://en.m.wiktionary.org/wiki/dumalagsa
deskarga	verb	discharge or fire a weapon	https://en.m.wiktionary.org/wiki/deskarga
deskarga	verb	( sailing ) unload	https://en.m.wiktionary.org/wiki/deskarga
habal	adjective	inflamed	https://en.m.wiktionary.org/wiki/habal
duplikado	noun	duplicate	https://en.m.wiktionary.org/wiki/duplikado
pulu	noun	island ; isle ; islet Synonym: isla	https://en.m.wiktionary.org/wiki/pulu
aboy	adjective	bent ; curved ; warped	https://en.m.wiktionary.org/wiki/aboy
aboy	verb	to bend	https://en.m.wiktionary.org/wiki/aboy
asog	noun	( historical ) an effeminate man who functions as a babaylan	https://en.m.wiktionary.org/wiki/asog
asog	noun	a barren woman	https://en.m.wiktionary.org/wiki/asog
kalayo	noun	fire ; flame Synonyms: dabadaba , sunog	https://en.m.wiktionary.org/wiki/kalayo
bangis	noun	brutality , cruelty Synonym: pintas	https://en.m.wiktionary.org/wiki/bangis
bangis	noun	violence Synonym: kahas	https://en.m.wiktionary.org/wiki/bangis
bangis	verb	to be or become brutal , cruel , inhuman , or violent	https://en.m.wiktionary.org/wiki/bangis
dupoy	noun	breeze	https://en.m.wiktionary.org/wiki/dupoy
huyuhoy	noun	breeze Synonym: harupot	https://en.m.wiktionary.org/wiki/huyuhoy
Bacolodnon	noun	resident or inhabitant of Bacolod	https://en.m.wiktionary.org/wiki/Bacolodnon
Bacolodnon	adjective	of or pertaining to Bacolod	https://en.m.wiktionary.org/wiki/Bacolodnon
amorokpok	noun	meteorite , shooting star	https://en.m.wiktionary.org/wiki/amorokpok
amorokpok	noun	bird of prey	https://en.m.wiktionary.org/wiki/amorokpok
abi-abi	noun	greeting ; salutation	https://en.m.wiktionary.org/wiki/abi-abi
abi-abi	verb	to greet ; to salute	https://en.m.wiktionary.org/wiki/abi-abi
dinamita	noun	dynamite	https://en.m.wiktionary.org/wiki/dinamita
balani	noun	magnet , magnetism	https://en.m.wiktionary.org/wiki/balani
aduana	noun	customs ( office that taxes imported goods )	https://en.m.wiktionary.org/wiki/aduana
aduana	noun	tax , toll	https://en.m.wiktionary.org/wiki/aduana
bulang	noun	cockfight	https://en.m.wiktionary.org/wiki/bulang
bulang	verb	to cockfight	https://en.m.wiktionary.org/wiki/bulang
dibuho	noun	design , draft	https://en.m.wiktionary.org/wiki/dibuho
enpermera	noun	attendant	https://en.m.wiktionary.org/wiki/enpermera
asinan	noun	salt mine	https://en.m.wiktionary.org/wiki/asinan
abonar	verb	advance , loan	https://en.m.wiktionary.org/wiki/abonar
gab-i	noun	evening ; night Coordinate terms: aga , udto , hapon	https://en.m.wiktionary.org/wiki/gab-i
gab-i	noun	nighttime Synonym: adlaw	https://en.m.wiktionary.org/wiki/gab-i
kan-on	noun	cooked rice	https://en.m.wiktionary.org/wiki/kan-on
saging	noun	banana ; plantain	https://en.m.wiktionary.org/wiki/saging
urang	noun	shrimp ; prawn	https://en.m.wiktionary.org/wiki/urang
kabangis	adjective	fierceness , ferocity	https://en.m.wiktionary.org/wiki/kabangis
bulinga	noun	fish eggs , roe	https://en.m.wiktionary.org/wiki/bulinga
hima	noun	ice Synonym: yelo hima kag kalayo ice and fire	https://en.m.wiktionary.org/wiki/hima
balas	noun	sand	https://en.m.wiktionary.org/wiki/balas
dulis	noun	meteorite	https://en.m.wiktionary.org/wiki/dulis
bantog	adjective	eminent , famous , prominent	https://en.m.wiktionary.org/wiki/bantog
alabri	noun	a key , anything used for the purposes of opening something that is closed	https://en.m.wiktionary.org/wiki/alabri
gumulua	noun	cast	https://en.m.wiktionary.org/wiki/gumulua
gingikanan	noun	beginning , commencement , lineage , origin , root , source , start	https://en.m.wiktionary.org/wiki/gingikanan
maingol	adjective	rare , scarce	https://en.m.wiktionary.org/wiki/maingol
linaw	noun	lake ; pond Synonym: lim-aw	https://en.m.wiktionary.org/wiki/linaw
linaw	verb	to be calm ; to be peaceful	https://en.m.wiktionary.org/wiki/linaw
sokla	noun	silk	https://en.m.wiktionary.org/wiki/sokla
payong	noun	umbrella	https://en.m.wiktionary.org/wiki/payong
dunot	adjective	decayed , rotten , spoiled	https://en.m.wiktionary.org/wiki/dunot
mais	noun	maize ; corn	https://en.m.wiktionary.org/wiki/mais
kadak-an	noun	hall	https://en.m.wiktionary.org/wiki/kadak-an
aborido	adjective	disturbed , uneasy , upset , worried	https://en.m.wiktionary.org/wiki/aborido
usa	noun	deer	https://en.m.wiktionary.org/wiki/usa
tuig	noun	year	https://en.m.wiktionary.org/wiki/tuig
dagas	verb	to gather fruit	https://en.m.wiktionary.org/wiki/dagas
dagas	noun	windfall	https://en.m.wiktionary.org/wiki/dagas
bugnaw	adjective	chill , frigidity	https://en.m.wiktionary.org/wiki/bugnaw
abansada	adjective	exposed to the wind	https://en.m.wiktionary.org/wiki/abansada
dag-on	noun	season , year	https://en.m.wiktionary.org/wiki/dag-on
dag-on	verb	( passive voice ) overcome , conquer	https://en.m.wiktionary.org/wiki/dag-on
dalanawan	noun	swamp	https://en.m.wiktionary.org/wiki/dalanawan
bug-os	adjective	complete , whole	https://en.m.wiktionary.org/wiki/bug-os
bug-os	verb	do something completely	https://en.m.wiktionary.org/wiki/bug-os
kutsilyo	noun	knife Synonym: utak	https://en.m.wiktionary.org/wiki/kutsilyo
dalasaon	noun	assail , crash	https://en.m.wiktionary.org/wiki/dalasaon
tayoyon	adjective	continuous , steady , without pause	https://en.m.wiktionary.org/wiki/tayoyon
hoyohoy	noun	alternative spelling of huyuhoy	https://en.m.wiktionary.org/wiki/hoyohoy
dulud	noun	dribble , ooze	https://en.m.wiktionary.org/wiki/dulud
gilayon	adverb	immediately Synonym: dali	https://en.m.wiktionary.org/wiki/gilayon
gilayon	adverb	soon ; later Synonyms: karon , madason	https://en.m.wiktionary.org/wiki/gilayon
atis	noun	sugar apple ( Annona squamosa )	https://en.m.wiktionary.org/wiki/atis
bagat-bagat	noun	centipede	https://en.m.wiktionary.org/wiki/bagat-bagat
administrasyon	noun	administration , management	https://en.m.wiktionary.org/wiki/administrasyon
kuto	noun	louse ( insect )	https://en.m.wiktionary.org/wiki/kuto
aboy-aboy	noun	diminutive of abóy	https://en.m.wiktionary.org/wiki/aboy-aboy
aboy-aboy	noun	cradle , hammock , swing	https://en.m.wiktionary.org/wiki/aboy-aboy
diosnon	adjective	divine , godly , godlike , pious	https://en.m.wiktionary.org/wiki/diosnon
dulat	noun	awl , brad	https://en.m.wiktionary.org/wiki/dulat
rason	noun	faculty of thinking , reasoning ( of thought )	https://en.m.wiktionary.org/wiki/rason
rason	noun	explanation , account	https://en.m.wiktionary.org/wiki/rason
bendisyon	noun	benediction , blessing	https://en.m.wiktionary.org/wiki/bendisyon
bendisyon	verb	to bless	https://en.m.wiktionary.org/wiki/bendisyon
maragomo	adjective	short with someone	https://en.m.wiktionary.org/wiki/maragomo
butigon	adjective	misleading , sly	https://en.m.wiktionary.org/wiki/butigon
butigon	noun	liar , fibber	https://en.m.wiktionary.org/wiki/butigon
abunda	adjective	abundant , plentiful	https://en.m.wiktionary.org/wiki/abunda
tulug	verb	to sleep	https://en.m.wiktionary.org/wiki/tulug
tulug	noun	sleep	https://en.m.wiktionary.org/wiki/tulug
adlaw	noun	( astronomy ) sun	https://en.m.wiktionary.org/wiki/adlaw
adlaw	noun	( astronomy ) day	https://en.m.wiktionary.org/wiki/adlaw
adlaw	noun	( time ) daytime Antonym: gab-i	https://en.m.wiktionary.org/wiki/adlaw
kagulangan	noun	jungle	https://en.m.wiktionary.org/wiki/kagulangan
ngithil	verb	to whine , whimper	https://en.m.wiktionary.org/wiki/ngithil
koltson	noun	mattress	https://en.m.wiktionary.org/wiki/koltson
tanan	adjective	all	https://en.m.wiktionary.org/wiki/tanan
abakahan	noun	someone or something abundant in abaca plants	https://en.m.wiktionary.org/wiki/abakahan
bilanggoan	noun	jail ; prison Synonyms: hulunongan , kalaboso , karsel , presonan	https://en.m.wiktionary.org/wiki/bilanggoan
tagipusuon	noun	alternative form of tagiposoon	https://en.m.wiktionary.org/wiki/tagipusuon
babayen-on	adjective	effeminate	https://en.m.wiktionary.org/wiki/babayen-on
tampok	noun	elite	https://en.m.wiktionary.org/wiki/tampok
halong	verb	to handle with care Synonym: amlig	https://en.m.wiktionary.org/wiki/halong
halong	verb	to take care ( for belongings ) Synonyms: sapupo , tatap	https://en.m.wiktionary.org/wiki/halong
alkitran	noun	pitch , tar	https://en.m.wiktionary.org/wiki/alkitran
biling	noun	stitch , a sharp , sudden pain	https://en.m.wiktionary.org/wiki/biling
ilo	noun	orphan	https://en.m.wiktionary.org/wiki/ilo
babaylan	noun	healer , shaman	https://en.m.wiktionary.org/wiki/babaylan
dugoon	adjective	bloody , gory	https://en.m.wiktionary.org/wiki/dugoon
asin	noun	salt ( sodium chloride )	https://en.m.wiktionary.org/wiki/asin
asin	verb	to salt ( add salt to )	https://en.m.wiktionary.org/wiki/asin
buyagyag	verb	betray , expose , make public , tell	https://en.m.wiktionary.org/wiki/buyagyag
sag-ang	noun	( anatomy ) chin	https://en.m.wiktionary.org/wiki/sag-ang
hagunung	verb	boom	https://en.m.wiktionary.org/wiki/hagunung
hagunung	verb	rumble	https://en.m.wiktionary.org/wiki/hagunung
asugi nga buhi	noun	quicksilver	https://en.m.wiktionary.org/wiki/asugi%20nga%20buhi
antipara	noun	eyeglasses , glasses , spectacles Synonyms: antiohos , tagosilang	https://en.m.wiktionary.org/wiki/antipara
atipalo	noun	earwig	https://en.m.wiktionary.org/wiki/atipalo
hiliugyon	verb	to unite	https://en.m.wiktionary.org/wiki/hiliugyon
hiliugyon	verb	to agree , cooperate	https://en.m.wiktionary.org/wiki/hiliugyon
subong	adverb	now	https://en.m.wiktionary.org/wiki/subong
paryente	noun	relative Synonym: kakiliran	https://en.m.wiktionary.org/wiki/paryente
saylo	verb	to go over ; to change place	https://en.m.wiktionary.org/wiki/saylo
saylo	verb	to pass by	https://en.m.wiktionary.org/wiki/saylo
hanlug	adjective	slippery	https://en.m.wiktionary.org/wiki/hanlug
kahinguyangan	noun	expenditure , waste	https://en.m.wiktionary.org/wiki/kahinguyangan
dumuluong	noun	alien , foreigner , stranger	https://en.m.wiktionary.org/wiki/dumuluong
abwa	verb	make	https://en.m.wiktionary.org/wiki/abwa
abwa	verb	gather , collect	https://en.m.wiktionary.org/wiki/abwa
dalo	verb	to caress , to fondle	https://en.m.wiktionary.org/wiki/dalo
salakay	noun	invasion	https://en.m.wiktionary.org/wiki/salakay
salakay	noun	overthrow	https://en.m.wiktionary.org/wiki/salakay
salakay	noun	attack Synonym: atake	https://en.m.wiktionary.org/wiki/salakay
abud	noun	hem	https://en.m.wiktionary.org/wiki/abud
abud	noun	edge	https://en.m.wiktionary.org/wiki/abud
abud	verb	to hem	https://en.m.wiktionary.org/wiki/abud
arpa	noun	harp , lyre	https://en.m.wiktionary.org/wiki/arpa
lae	noun	adultery Synonym: láyì	https://en.m.wiktionary.org/wiki/lae
butakal	noun	boar	https://en.m.wiktionary.org/wiki/butakal
amoma	verb	regale , treat with food and drink	https://en.m.wiktionary.org/wiki/amoma
bayo	adjective	( of horses ) bay	https://en.m.wiktionary.org/wiki/bayo
bayo	noun	a garment which covers the upper body	https://en.m.wiktionary.org/wiki/bayo
timaan	noun	symbol	https://en.m.wiktionary.org/wiki/timaan
ambulansya	noun	ambulance	https://en.m.wiktionary.org/wiki/ambulansya
puol	noun	snail	https://en.m.wiktionary.org/wiki/puol
kalisang	noun	horror , terror	https://en.m.wiktionary.org/wiki/kalisang
kalisang	noun	fear , fright , panic	https://en.m.wiktionary.org/wiki/kalisang
alinga	verb	to watch ; to see over ; to supervise Synonym: anila	https://en.m.wiktionary.org/wiki/alinga
aban	verb	to finish	https://en.m.wiktionary.org/wiki/aban
aban	verb	( of a loom ) to take off	https://en.m.wiktionary.org/wiki/aban
dayan	noun	stroll , walk Synonym: lagaw	https://en.m.wiktionary.org/wiki/dayan
balaklon	noun	commodities , goods , wares	https://en.m.wiktionary.org/wiki/balaklon
gabi	noun	taro	https://en.m.wiktionary.org/wiki/gabi
tibakla	noun	grasshopper	https://en.m.wiktionary.org/wiki/tibakla
mahagup	adjective	tame , docile , gentle	https://en.m.wiktionary.org/wiki/mahagup
bukidnon	adjective	coarse , rough , uncultured , uncouth	https://en.m.wiktionary.org/wiki/bukidnon
bukidnon	noun	mountaineer	https://en.m.wiktionary.org/wiki/bukidnon
balunggay	noun	a type of tree , the malunggay or horseradish tree , Moringa oleifera	https://en.m.wiktionary.org/wiki/balunggay
habul	noun	blanket , rug	https://en.m.wiktionary.org/wiki/habul
utud-utud	verb	diminutive of utúd : to cut something off	https://en.m.wiktionary.org/wiki/utud-utud
baliskag	noun	vertebra ; spine	https://en.m.wiktionary.org/wiki/baliskag
dumayon	verb	enter	https://en.m.wiktionary.org/wiki/dumayon
bilog	adjective	entire ; intact ; round ; solid ; whole	https://en.m.wiktionary.org/wiki/bilog
bisikleta	noun	bicycle	https://en.m.wiktionary.org/wiki/bisikleta
awat	verb	to annoy	https://en.m.wiktionary.org/wiki/awat
awat	verb	to delay or waste someone's time	https://en.m.wiktionary.org/wiki/awat
kaldera	noun	kettle	https://en.m.wiktionary.org/wiki/kaldera
banas sa higad sang suba	noun	riverside Nagaistar ako banas sa higad sang suba . I live by the riverside.	https://en.m.wiktionary.org/wiki/banas%20sa%20higad%20sang%20suba
aborto	noun	abortion	https://en.m.wiktionary.org/wiki/aborto
aborto	noun	miscarriage	https://en.m.wiktionary.org/wiki/aborto
aborto	noun	monster	https://en.m.wiktionary.org/wiki/aborto
aborto	noun	act of stopping	https://en.m.wiktionary.org/wiki/aborto
batota	noun	baton	https://en.m.wiktionary.org/wiki/batota
batota	noun	rule , sway	https://en.m.wiktionary.org/wiki/batota
apog	noun	( chemistry ) limestone	https://en.m.wiktionary.org/wiki/apog
bungot	noun	beard	https://en.m.wiktionary.org/wiki/bungot
damot	noun	vegetable	https://en.m.wiktionary.org/wiki/damot
batidor	noun	whisk	https://en.m.wiktionary.org/wiki/batidor
duyanon	verb	swing	https://en.m.wiktionary.org/wiki/duyanon
balangitaw	noun	( animal ) alligator , crocodile	https://en.m.wiktionary.org/wiki/balangitaw
tul-an	noun	bone	https://en.m.wiktionary.org/wiki/tul-an
telepono	noun	telephone	https://en.m.wiktionary.org/wiki/telepono
telepono	verb	to call or telephone another person	https://en.m.wiktionary.org/wiki/telepono
kadumot	noun	hatred , grudge Antonym: higugma	https://en.m.wiktionary.org/wiki/kadumot
urok	noun	young pig ; piglet	https://en.m.wiktionary.org/wiki/urok
halalongan	noun	delicate , precaution	https://en.m.wiktionary.org/wiki/halalongan
enkantado	adjective	magical	https://en.m.wiktionary.org/wiki/enkantado
namit	noun	delicacy Synonyms: nanam , rimis	https://en.m.wiktionary.org/wiki/namit
Passinhon	noun	resident or inhabitant of Passi	https://en.m.wiktionary.org/wiki/Passinhon
Passinhon	adjective	of or pertaining to Passi	https://en.m.wiktionary.org/wiki/Passinhon
bunang	noun	thread , yarn	https://en.m.wiktionary.org/wiki/bunang
punoan	noun	( of authorities ) chief , head	https://en.m.wiktionary.org/wiki/punoan
hinugyaw	noun	excitement	https://en.m.wiktionary.org/wiki/hinugyaw
landong	noun	shadow Synonym: halon	https://en.m.wiktionary.org/wiki/landong
dabdab	verb	kindle , light	https://en.m.wiktionary.org/wiki/dabdab
balahibo	noun	body hair	https://en.m.wiktionary.org/wiki/balahibo
balahibo	noun	fur	https://en.m.wiktionary.org/wiki/balahibo
balahibo	noun	feathers Synonym: balukag	https://en.m.wiktionary.org/wiki/balahibo
larawanan	noun	photographer's studio	https://en.m.wiktionary.org/wiki/larawanan
damgo	noun	dream	https://en.m.wiktionary.org/wiki/damgo
paabat	verb	causative of ábat	https://en.m.wiktionary.org/wiki/paabat
dumili	verb	prohibit	https://en.m.wiktionary.org/wiki/dumili
balaligya	noun	commodities , goods , merchandise	https://en.m.wiktionary.org/wiki/balaligya
makakululba	adjective	intimidating , disconcerting	https://en.m.wiktionary.org/wiki/makakululba
makakululba	adjective	causing nervousness or shyness	https://en.m.wiktionary.org/wiki/makakululba
