word,pos_symbol,pos_word,meaning
hím’ung,adj,adjective,"modest, refined, demure, graceful."
hímus,v,verb,"to arrange, to put away in an orderly manner."
himútad,v,verb,"to scrutinize, to look at closely."
himutígun,n,noun,"denial, refusal."
hináblus,n,noun,"niece, nephew."
hinákay,v,verb,"to hire, to pay for rent."
hináli’,adv,adverb,"abruptly, suddenly."
hinámbit,v,verb,"to mention, to refer to, to allude."
hinámput,v,verb,"to draw near, to approach, to move in the direction of the speaker."
hináw,v,verb,to wash hands or face.
hínay,adv,adverb,"slowly, gently."
hínay,adj,adjective,"slow, weak, tender."
hínay,v,verb,"to do slowly, to be weak or gentle."
hínhin,adj,adjective,"graceful, demure, dainty."
híning,adj,adjective,"shiny, polished."
hínis,v,verb,"to rub, to polish, to clean."
hínlu’,adj,adjective,"smooth, elegant, dainty."
hinúlsul,n,noun,"repentance, regret, remorse."
hinúlsul,v,verb,"to be sorry for, to repent, to regret."
hinun’ánun,v,verb,"to exchange views on a subject, to apeak about, to discuss."
hingabút,v,verb,"to draw, to try to reach, to persecute, to molest, to seek to obtain."
hingagáw,v,verb,"to reach the goal, to complete, to finish."
hingálan,v,verb,"to name, to call by name."
hingamú,v,verb,"to covet, to desire, to strive to obtain."
hinganíban,n,noun,weapon.
hingapús,v,verb,"to end, to finish, to complete, to terminate."
hingí’ki’,v,verb,to clean the teeth of tartar.
hingukú,v,verb,"to cut the nails, to trim and clean the fingernails."
hingúyang,n,noun,food preparation.
hingúyang,v,verb,"to hesitate to spend, to waste, to spend unwisely."
híngyu’,v,verb,"to think, to plan, to have the intention, to deliberate."
hípag,n,noun,"sister-in-law, brother-in-law."
hípid,adj,adjective,"neat, orderly, dressy."
hípus,adj,adjective,"quiet, silent, still."
hípus,n,noun,"stillness, silence, quietness."
hípus,v,verb,"to be silent, to keep quiet, to keep still."
hírup,adj,adjective,"intimate, tender."
hírup,n,noun,"comrade, friend, close friend."
hísa,n,noun,"envy, jealousy."
hísa,adj,adjective,"envious, jealous, selfish."
hisáyud,v,verb,"to ask for an explanation, to request information."
híta’,n,noun,"thigh, crotch."
hítad,v,verb,"to stretch, to open and smooth out as of cloth or paper."
híwa’,n,noun,"chunck, sliced piece, one slice."
híwa’,v,verb,"to slice, to carve, to cut to pieces."
híwat,v,verb,"to celebrate, to hold a feast."
hiyás,n,noun,"precious stone, gem."
híyud,v,verb,to stretch out.
hornál,n,noun,"laborer, workman."
hu’ád,adj,adjective,counterfeit.
hu’ád,n,noun,"copy, duplicate."
hu’ád,v,verb,to copy.
húbad,v,verb,"to loosen, to untie, to solve, to translate."
hubág,n,noun,"swelling, boil."
hubág,adj,adjective,"swollen, bulging."
hubág,v,verb,"to swell, to bulge."
hubás,v,verb,"to evaporate, to dry up."
húben,adj,adjective,young.
húblag,n,noun,"social compatibility, social movement, organization with revolutionary functions and aims."
húblas,adj,adjective,naked.
húblas,v,verb,"to strip off, to take off."
húbu’,adj,adjective,"naked, unclad."
húbu’,v,verb,"to unclad, to take off."
hubúg,n,noun,drunk;  drunkard.
hubúg,v,verb,"to become drunk, to drink to excess."
hubún,n,noun,group.
húk’ab,v,verb,to loosen and fall off.
húkas,v,verb,"to remove, to detach, to take off."
hukúm,n,noun,judge.
hukúm,v,verb,"to pass judgement, to try a court case."
hudéyu,n,noun,jew.
hugák,adj,adjective,loose.
hugák,v,verb,"to untie, to loosen."
hugakúm,v,verb,"to clasp in the fist, to grab, to grasp, to usurp."
húgas,v,verb,to wash hands and other objects except clothes.
húgpa’,v,verb,"to land, to perch, to come to rest especially of flying objects."
húgpung,n,noun,"bundle, bouquet."
húgpung,v,verb,"to make a bundle, to join together as a group."
hugút,adj,adjective,tight.
húgyaw,n,noun,"noisy laughter, enjoyment."
húgyaw,v,verb,"to be joyful, to cheer."
húlag,n,noun,"movement, action."
húlag,v,verb,"to move, to stir, to get busy."
hulám,v,verb,to borrow.
húlas,n,noun,"perspiration, moisture."
húlas,v,verb,to perspire.
hulát,n,noun,"waiting, expectations."
hulát,v,verb,"to wait, to expect, to be ready for."
hulík,v,verb,to snap at or to swallow the bait.
húlid,v,verb,"to lie alongside, to lie together."
húlip,v,verb,"to fill in strips, to patch a hole in a mat."
húlug,v,verb,"to fall down, to tumble."
hulúnan,n,noun,"roost, place for resting."
hulúnan,v,verb,"to roost, to settle down for rest or sleep as with fowls."
húlyo,n,noun,july.
humán,adj,adjective,"finished, completed, terminated."
humán,v,verb,"to terminate, to accomplish, to finish."
humáy,n,noun,rice plant.
húmlad,v,verb,"to spread out, to open, to unfold."
húmuk,adj,adjective,"soft, feathery."
húmuk,v,verb,"to become soft, to become tender."
humút,n,noun,"smell, odor.;  cologne, perfume, essence."
humút,adj,adjective,"fragrant, sweet smelling, odorous."
huná’,adj,adjective,"fragile, frail."
huná’huná’,n,noun,"thoughts, ideas, opinion."
huná’huná’,v,verb,"to think, to have the idea, to consider."
hunás,n,noun,low tide.;  beach.
hunás,v,verb,to have low tide.
