Word,Part of speech,affixation,meaning,example,English example,source
buung,adjective,,"broken, smashed",,,https://en.wiktionary.org/wiki/buung
daan,adjective,,"(now rare) old (already used)
Synonyms: luma, antigo
Antonym: bago",,,https://en.wiktionary.org/wiki/daan
dagaang,adjective,,"red, scarlet",,,https://en.wiktionary.org/wiki/dagaang
dagangdang,adjective,,"red, scarlet",,,https://en.wiktionary.org/wiki/dagangdang
daginit,adjective,,"(of wind) gentle, soft, mild, tender, warm",,,https://en.wiktionary.org/wiki/daginit
dagway nga makahuhuya,adjective,,shabby,,,https://en.wiktionary.org/wiki/dagway_nga_makahuhuya
daku,adjective,,(anatomy) back,,,https://en.wiktionary.org/wiki/daku
daku kaayo,adjective,,very big,,,https://en.wiktionary.org/wiki/daku_kaayo
daku-daku,adjective,,diminutive of daku,,,https://en.wiktionary.org/wiki/daku-daku
dalag,adjective,,mudfish,,,https://en.wiktionary.org/wiki/dalag
dalagku,adjective,,"big, large",,,https://en.wiktionary.org/wiki/dalagku
dalamhak,adjective,,wayward,,,https://en.wiktionary.org/wiki/dalamhak
dalang-dalang,adjective,,astray,,,https://en.wiktionary.org/wiki/dalang-dalang
dalayawon,adjective,,"great, praiseworthy, laudable",,,https://en.wiktionary.org/wiki/dalayawon
dalisay,adjective,,pure,,,https://en.wiktionary.org/wiki/dalisay
dalitan,adjective,,"poisonous, venomous",,,https://en.wiktionary.org/wiki/dalitan
dalok,adjective,,"greedy, gluttonous",,,https://en.wiktionary.org/wiki/dalok
dalum,adjective,,(of depth) deep,,,https://en.wiktionary.org/wiki/dalum
damak,adjective,,"dirty, slovenly, untidy",,,https://en.wiktionary.org/wiki/damak
dapit,adjective,,"regarding; about
Synonym: manunungod",,,https://en.wiktionary.org/wiki/dapit
dasig,adjective,,"(Austria, Switzerland, possibly dated) confused, intimidated
(The addition of quotations indicative of this usage is being sought:)",,,https://en.wiktionary.org/wiki/dasig
delana,adjective,,woolen,,,https://en.wiktionary.org/wiki/delana
dimaisip,adjective,,"countless, innumerable",,,https://en.wiktionary.org/wiki/dimaisip
dimalas,adjective,,unlucky; unfortunate,,,https://en.wiktionary.org/wiki/dimalas
dimasaysay,adjective,,"inexplicable, mysterious",,,https://en.wiktionary.org/wiki/dimasaysay
dimatarung,adjective,,dishonest,,,https://en.wiktionary.org/wiki/dimatarung
dimatungkad,adjective,,"bottomless, inscrutable, unfathomable",,,https://en.wiktionary.org/wiki/dimatungkad
dingot,adjective,,nominative plural of dingo,,,https://en.wiktionary.org/wiki/dingot
Diosnon,adjective,,devout,,,https://en.wiktionary.org/wiki/Diosnon
diosnon,adjective,,"divine, godly, godlike, pious",,,https://en.wiktionary.org/wiki/diosnon
