word,POS symbol,POS word,placement,affix,meaning,Example,English Sample,Page
sulusakayán,n,noun,,,"toy boat, paper boat.",,,266
súma,n,noun,,,"sum, addition.",,,266
,v,verb,,"/mag-,-un/",to add up.,,,266
súman,n,noun,,,sticky cooked rice wrapped in banana leaf.,,,266
súmbag,v,verb,,"/mag-,-un/","to box, to hit with the fist.",,,266
súmbung,v,verb,,"/mag-,-un/","to denounce, to accuse, to report.",Ginsúmbung ku ang estudyánte sa ma’éstro.,I reported the student to the teacher.,266
súm’ud,v,verb,,"/mag-,-un/","to loathe, to have more than enough so as to feel boredom, to cloy.",Nagsúm’ud ang pagká’un.,The food made me cloy.,266
súmpa’,n,noun,,,"oath, sworn statement, vow.",,,266
,v,verb,,"/mag-,-un/","to take an oath, to swear, to make a big promise.",,,266
súmpung,v,verb,,"/mag-,-un/","to oppose, to resist, to fight, to have an argument with.",Ginsúmpung ku ang ma’éstro.,I opposed the teacher.,266
sundáyag,v,verb,,"/mag-,-pa-…-un/","to publish, to display, to explain.",Ginpasundáyag sa peryódiko ang íla kasál.,Their wedding was published in the newspaper.,266
súnlug,n,noun,,,"teasing, joke.",,239,266
,v,verb,,"/mag-,-un/",to tease.,,,267
súnsun,adj,adjective,,/ma-/,"frequent, often.",,,267
súntuk,v,verb,,"/mag-, -un/","to pierce, to thrust, to go through.",Ginsúntuk ang dulúnggan ku sang dágum.,My ear was pierced with a needle.,267
sunú’,con,conjunction,,,according to.,,,267
sunúd,adv,adverb,,,next.,,,267
,v,verb,,"/mag-, -un/","to go after, to follow, to tag along.",Nagsunúd ang idú’ sa ákun.,The dog followed me.,267
,n,noun,,/-lu-…-an/,"rules, laws, guidelines; /-lu-…-un/ leader, example, model, rules.",,,267
sunúdsunúd,adv,adverb,,,one after another.,,,267
,v,verb,,"/mag-, -un/","to tail, to tag along, to keep on following after.",Ginsunúdsúnud nya akú.,He kept on following me.,267
súnug,n,noun,,,"fire, dest ctive burning.",,,267
,v,verb,,"/mag-, -un/","to set fire to, to burn, to raze.",,,267
súngay,n,noun,,,horn.,,,267
,v,verb,,"/mag-, -un/","to gore, to pierce with a horn.",,,267
súngka’,n,noun,,,"Filipino game of stones, appeal.",,,267
,v,verb,,"/mag-, -un/",to appeal a case in the upper court.,Nagsúngka’ silá.,They appealed (their case).,267
súnggu’,v,verb,,"/mag-, -un/","to bump into, to crash against, to knock hard against something.",Nagsúnggu’ ang ákun úlu sa lamésa.,My head bumped against the table. 240,267
súnggud,v,verb,,"/mag-, -un/","to sulk, to resent, to be disappointed so as to sulk.",Nagsúnggud si María.,Maria sulked.,268
súngsung,n,noun,,,"stopper, cork.",,,268
,v,verb,,"/mag-, -un/",to close an opening with a stopper or a cork.,Ginsungsungán ku ang botélya.,I put a stopper in the bottle.,268
súngu,n,noun,,,antennae of insects.,,,268
súpas,n,noun,,,soup.,,,268
superbisór,n,noun,,,supervisor.,,,268
supládu,adj,adjective,,,"stubborn, over-bearing.",,,268
súpsup,v,verb,,"/mag-, -un/","to sip in, to suck, to absorb.",Ginsúpsup ku ang Coca Cóla.,I sipped Coca Cola.,268
supúk,v,verb,,"/mag-, -un/","to contradict, to oppose, to fight someone smaller in size or younger in age.",Nagsupúk sya sang báta’.,He fought a child.,268
supúg,adj,adjective,,/ma-/,"rabid, contagious, furious.",,,268
súput,n,noun,,,paper sack or bag.,,,268
supút,v,verb,,"/mag-, -un/","to gather or collect in small amounts, to be against someone smaller in size.",Nagsupút silá magkolékta sang maskín tagdyés.,They collected even ten centavo coins.,268
súrsi,n,noun,,,"darning, patch.",,,268
,v,verb,,"/mag-, -un/","to darn, to patch.",,,268
sús,intj,interjection,,,"oh, my goodness, wow.",,241,268
súsi’,v,verb,,"/mag-, -un/","to investigate, to look into, to try to discover, to research.",Ginsúsi’ ku sang ma’áyu ang kásu.,I looked into the case very well.,269
suspendér,v,verb,,"/mag-, -un/","to suspend, to reprieve.",,,269
susténto,n,noun,,,"sustenance, maintenance.",,,269
súsu,n,noun,,,"mammary gland, breast.",,,269
,v,verb,,/mag-/,to nurse from the breast or bottle.,,,269
sutíl,adj,adjective,,,"naughty, mischievous.",,,269
sútsut,v,verb,,"/mag-, -an/","to prod from below with a very little force, to make a hissing sound to call attention.",Ginsutsután ku si Ernésto.,I hissed at Ernesto.,269
súyup,v,verb,,"/mag-, -un/","to absorb, to suck in, to breathe in.",,,269
swélas,n,noun,,,"of shoes, sole.",,,269
swéldo,n,noun,,,"salary, pay, wage.",,,269
,v,verb,,"/mag-, -un/","to pay wages, to receive a salary.",,,269
swérte,n,noun,,,"luck, fate.",,,269
,adj,adjective,,/ma-/,lucky.,,,269
syá,pr,pronoun,,,"he, she, it (third person singular nominal pronoun).",,,269
syápa,n,noun,,,badge.,,,269
syémpre,id,idiom,,,"of course, certainly, yes.",,,269
syén,num,numeral,,,hundred.,,,269
syénsya,n,noun,,,science.,,242,269
syérto,adv,adverb,,,"certainly, surely.",,,270
syéte,num,numeral,,,seven.,,,270
syudád,n,noun,,,"city, metropolis.",,243,270
ta,pr,pronoun,,,short form of nátun.,,,271
tá’as,adj,adjective,,/ma-/,tall.,,,271
,v,verb,,"/mag-, -an/","to grow tall, to raise, to increase.",Ginta’ásan ang rénta.,The rent was increased.,271
tába’,v,verb,,"/mag-, -un/",to buy land or fields.,,,271
tabáku’,n,noun,,,"tobacco, cigar.",,,271
,v,verb,,"/mag-, -un/","to smake a cigar, to chew tobacco.",,,271
tában,n,noun,,"/mag-, -un/","to run away with, to take away, to elope.",Nagtában si Cárlos kag si Emily.,Carlos and Emily eloped.,271
tábang,n,noun,,,"help, aid, succor.",,,271
,v,verb,,"/mag-, -an/","to assist, to help.",,,271
táb’ang,adj,adjective,,/ma-/,"tasteless, of liquid consistency, light, mild.",,,271
tábas,v,verb,,"/mag-, -un/","to sew, to cut cloth.",Gintábas ku ang báyu’.,I sewed the dress.,271
tabíd,v,verb,,"/mag-, -un/","to link together with a rope or string, to attach to.",,,271
tabínas,n,noun,,,embarrassment.,,,271
tabís,n,noun,,,"penalty, fine.",,,271
tablétas,n,noun,,,"medicine tablet, pill.",,244,271
tabú’,n,noun,,/hi-/,"dipper, can used to scoop out water;  case, event, happening.",,,272
,v,verb,,/ma-/,"to happen, to occur, to come to pass.",,,272
tábu’,v,verb,,"/mag-, -un/","to come together, to meet purposely, to fetch from an airport or pier.",Gintábu’ ku si Nánay sa pantalán.,I met my mother at the pier.,272
tabúk,v,verb,,"/mag-, -un/","to go across, to cross over.",Nagtabúk silá sang subá’.,They went across the river.,272
tábug,v,verb,,"/mag-, -un/","to drive away, using arm gestures.",Gintábug ku ang mangá lángaw.,I drove the flies away.,272
tabún,n,noun,,,cover.,,,272
,v,verb,,"/mag-, -un/",to cover with something.,,,272
tak’an,v,verb,,/ma-/,"to get disgusted with, to get bored, to become weary, to get tired of.",,,272
Naták’an,na,noun formative,,,akú magpamáti’ sa íya istórya.,I’m bored listening to his stories.,,272
tákam,v,verb,,"/mag-, -un/",to munch or chew noisily.,,,272
tákas,n,noun,,,"land, dry land.",,,272
,v,verb,,/mag-/,"to disembark, to go ashore, to go out of the water.",Nagtákas na silá pagkatápus malígu’ sang tátlu ka óras.,They finally got out of the water after swimming for three hours.,272
tákdung,v,verb,,"/mag-, -un/",to cover the head.,Nagtákdung akú sang peryódiko kay ma’ulán.,I covered my head with the newspaper because it is raining. 245,272
